dato1,dato2,dato3,Salida
-0.814453,-0.378418,-0.023438,0.0
-0.805176,-0.344238,0.03418,0.0
-0.587891,-0.352539,0.260254,0.0
-0.911133,-0.511719,0.269043,0.0
-0.756348,-0.455566,0.205566,0.0
-0.916504,-0.602539,0.303223,0.0
-0.902344,-0.561523,0.260254,0.0
-1.020508,-0.671387,0.283691,0.0
-0.707031,-0.495605,0.191895,0.0
-1.068359,-0.57959,0.146973,0.0
-0.966309,-0.476563,0.144531,0.0
-0.808594,-0.386719,0.053223,0.0
-0.766113,-0.396973,0.049805,0.0
-0.973633,-0.446289,0.234863,0.0
-0.568848,-0.375,0.294434,0.0
-0.892578,-0.518066,0.218262,0.0
-0.616211,-0.398926,0.229004,0.0
-0.79541,-0.447754,0.258789,0.0
-0.833008,-0.533691,0.319336,0.0
-1.239258,-0.672852,0.308105,0.0
-0.737305,-0.512207,0.237793,0.0
-1.05127,-0.561523,0.179199,0.0
-0.851563,-0.400391,0.095703,0.0
-0.725586,-0.409668,0.074707,0.0
-0.807617,-0.38623,0.061035,0.0
-1.026855,-0.501953,0.154297,0.0
-0.637695,-0.380371,0.193848,0.0
-0.941406,-0.411133,0.168457,0.0
-0.66748,-0.421387,0.18457,0.0
-0.714355,-0.519043,0.255371,0.0
-0.82666,-0.493652,0.292969,0.0
-1.421387,-0.664062,0.240723,0.0
-1.113281,-0.627441,0.179199,0.0
-0.95166,-0.463379,0.129395,0.0
-0.916016,-0.422852,0.097168,0.0
-0.776367,-0.390625,0.055664,0.0
-0.807129,-0.377441,0.053711,0.0
-0.929199,-0.453613,0.147949,0.0
-0.801758,-0.369141,0.207031,0.0
-0.887207,-0.516602,0.210937,0.0
-0.804199,-0.446289,0.25,0.0
-0.821289,-0.537109,0.294434,0.0
-1.144043,-0.609375,0.261719,0.0
-1.037598,-0.538086,0.307129,0.0
-1.137695,-0.540039,0.161133,0.0
-0.90332,-0.438477,0.132324,0.0
-0.911621,-0.427734,0.041992,0.0
-0.702148,-0.383301,0.048828,0.0
-0.79248,-0.385742,0.012695,0.0
-1.055664,-0.602539,0.360352,0.0
-1.039062,-0.334473,0.17041,0.0
-0.78125,-0.467773,0.259766,0.0
-0.713867,-0.47998,0.209961,0.0
-0.702637,-0.481934,0.256348,0.0
-1.101562,-0.67627,0.407715,0.0
-1.085449,-0.502441,0.327637,0.0
-1.0625,-0.58252,0.166504,0.0
-0.870605,-0.467285,0.119141,0.0
-0.805176,-0.398438,0.031738,0.0
-0.661621,-0.393066,0.026367,0.0
-0.92334,-0.40625,0.044922,0.0
-1.035156,-0.59375,0.161621,0.0
-0.956055,-0.414062,0.27832,0.0
-0.79834,-0.312988,0.211426,0.0
-0.687012,-0.536621,0.296387,0.0
-0.693848,-0.539062,0.312988,0.0
-1.206055,-0.662598,0.339844,0.0
-0.874512,-0.646973,0.21875,0.0
-1.014648,-0.546387,0.075684,0.0
-0.804199,-0.414551,0.075684,0.0
-0.807617,-0.410645,0.01416,0.0
-0.648438,-0.375,0.046875,0.0
-0.937012,-0.486328,0.146484,0.0
-0.751465,-0.466309,0.401367,0.0
-0.973633,-0.531738,0.225586,0.0
-0.684082,-0.446289,0.173828,0.0
-0.725586,-0.545898,0.196289,0.0
-0.666016,-0.571777,0.242188,0.0
-1.021484,-0.633301,0.287109,0.0
-0.708984,-0.484375,0.212891,0.0
-1.105957,-0.560059,0.188477,0.0
-0.830566,-0.365234,0.113281,0.0
-0.708496,-0.415039,0.030762,0.0
-0.664551,-0.395996,0.038086,0.0
-1.061035,-0.451172,0.081543,0.0
-0.71582,-0.437012,0.214844,0.0
-0.918457,-0.488281,0.172363,0.0
-0.658203,-0.453613,0.236328,0.0
-0.848144,-0.553223,0.270996,0.0
-0.86377,-0.556152,0.265625,0.0
